describe,evaluate,introduce,movie_name,serial_number,star
希望让人自由。,1207089人评价,.,肖申克的救赎,1,9.6
风华绝代。,887003人评价,.,霸王别姬,2,9.6
怪蜀黍和小萝莉不得不说的故事。,1110954人评价,.,这个杀手不太冷,3,9.4
一部美国近现代史。,951691人评价,e,阿甘正传,4,9.4
最美的谎言。,556045人评价,.,美丽人生,5,9.5
失去的才是永恒的。 ,887476人评价,.,泰坦尼克号,6,9.3
最好的宫崎骏，最好的久石让。 ,880010人评价,.,千与千寻,7,9.3
拯救一个人，就是拯救整个世界。,499527人评价,.,辛德勒的名单,8,9.5
诺兰给了我们一场无法盗取的梦。,968890人评价,.,盗梦空间,9,9.3
小瓦力，大人生。,642351人评价,.,机器人总动员,10,9.3
永远都不能忘记你所爱的人。,627144人评价,.,忠犬八公的故事,11,9.3
英俊版憨豆，高情商版谢耳朵。,867182人评价,.,三傻大闹宝莱坞,12,9.2
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,724078人评价,.,海上钢琴师,13,9.2
天籁一般的童声，是最接近上帝的存在。 ,596105人评价,.,放牛班的春天,14,9.2
一生所爱。,658094人评价,.,大话西游之大圣娶亲,15,9.2
如果再也不能见到你，祝你早安，午安，晚安。,638759人评价,.,楚门的世界,16,9.2
千万不要记恨你的对手，这样会让你失去理智。,439358人评价,.,教父,17,9.2
爱是一种力量，让我们超越时空感知它的存在。,653775人评价,.,星际穿越,18,9.2
人人心中都有个龙猫，童年就永远不会消失。,538931人评价,.,龙猫,19,9.1
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,370653人评价,.,熔炉,20,9.3
香港电影史上永不过时的杰作。,540459人评价,生,无间道,21,9.1
平民励志片。 ,700502人评价,.,当幸福来敲门,22,9.0
满满温情的高雅喜剧。,466709人评价,.,触不可及,23,9.2
真正的幸福是来自内心深处。,754182人评价,.,怦然心动,24,9.0
Tomorrow is another day.,333732人评价,.,乱世佳人,25,9.2
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,716275人评价,.,疯狂动物城,26,9.2
无尽的黑暗。,433513人评价,.,蝙蝠侠：黑暗骑士,27,9.1
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,366399人评价,.,天堂电影院,28,9.1
张艺谋最好的电影。,358637人评价,g,活着,29,9.1
瑰丽壮观、无人能及的冒险之旅。,719406人评价,.,少年派的奇幻漂流,30,9.0
1957年的理想主义。 ,214382人评价,.,十二怒汉,31,9.4
对敌人的仁慈，就是对自己残忍。,297688人评价,.,鬼子来了,32,9.2
史诗的终章。,356591人评价,.,指环王3：王者无敌,33,9.1
比利·怀德满分作品。,144732人评价,.,控方证人,34,9.6
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,471543人评价,.,搏击俱乐部,35,9.0
对天空的追逐，永不停止。 ,414612人评价,.,天空之城,36,9.0
最后那些最无聊的事情，才是最值得怀念的。 ,633359人评价,.,飞屋环游记,37,8.9
旷古烁今。,529518人评价,.,大话西游之月光宝盒,38,8.9
爱情哪怕只有一天。,480336人评价,.,罗马假日,39,9.0
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,641476人评价,.,摔跤吧！爸爸,40,9.1
别样人生。,284131人评价,.,窃听风暴,41,9.1
电影的现实意义大过电影本身。,281642人评价,.,辩护人,42,9.2
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,323398人评价,n,两杆大烟枪,43,9.1
史上最美的探戈。,407449人评价,.,闻香识女人,44,9.0
带着心爱的人在天空飞翔。,449130人评价,.,哈尔的移动城堡,45,8.9
自由万岁。,327641人评价,.,飞越疯人院,46,9.0
